time_seconds,T4_K,T8_K,T12_K,T16_K,NHF_kwm-2,IHF_volts,IHF_kwm-2,Observations,PID_state,O2_%,O2_inlet_%,DPT_volts,CO_ppm,CO2_ppm,APT_volts,Duct_TC_K,Ambient_TC_K,RH_volts
0.10100007057189941,18.133,18.74,18.944,20.326,0.0,0.0,0.0,start_logging,not_active,20.954350105037257,21.245268187700685,0.023151088,-0.7035207247548101,371.4795042475066,1.2836407,10.149,11.351,-0.001787412
1.4459998607635498,18.149,18.742,18.925,20.318,0.0,0.0,0.0,,not_active,20.954259162461238,21.24514630599288,0.023150871,-0.6635473046664089,371.48592582165315,1.2836735,10.138,11.348,-0.001059119
2.799999952316284,18.157,18.744,18.923,20.312,0.0,0.0,0.0,,not_active,20.95416821988522,21.24514630599288,0.023151524,-0.6615139172921829,371.4795042475066,1.2836297,10.153,11.341,-1.3285e-05
4.151000022888184,18.143,18.749,18.931,20.312,0.0,0.0,0.0,,not_active,20.953562120887714,21.24514630599288,0.023151306,-0.6615139172921829,371.8658591397416,1.2837281,10.161,11.346,-0.000539686
5.503999948501587,291.149,291.746,291.931,293.331,0.015705875000001854,0.0,0.0,start_test,not_active,20.954016833767817,21.24478398491603,0.023151415,-0.6608381879513558,371.8658591397416,1.2837172,10.167,11.362,-0.001614921
6.875999927520752,291.146,291.73,291.923,293.326,0.016646375000006222,0.24817961324199994,0.33824998140335083,,not_active,20.953653063463733,21.247204998839297,0.023150979,-0.6059553269025741,371.6726816936241,1.2837062,10.126,11.365,-0.00179351
8.259000062942505,291.138,291.744,291.92,293.312,0.014853250000004111,0.2970879803951008,0.6812499761581421,,not_active,20.95480454065341,21.251080837147587,0.023151524,-0.6323769640639796,371.601808723914,1.2837281,10.129,11.297,-0.001213424
9.641999959945679,291.132,291.714,291.91700000000003,293.329,0.017009750000004698,0.34576511237381347,1.0270000100135803,,not_active,20.953683285234423,21.24587316417762,0.023152068,-0.612049289673493,371.75633889810297,1.2836516,10.121,11.27,-0.000278881
11.016999959945679,291.127,291.721,291.912,293.318,0.0160835000000067,0.39382208754749937,1.3727499842643738,,not_active,20.954107776343836,21.249385573393536,0.023151524,-0.6086644436176272,371.5889655756207,1.2836188,10.132,11.27,-0.00015572
12.39299988746643,291.135,291.729,291.92,293.312,0.015451750000014154,0.44099195985738576,1.7164999842643738,,not_active,20.956471451528518,21.25192846902461,0.023151633,-0.6222162265446087,371.55673987783894,1.2836844,10.148,11.251,-0.000749636
13.76800012588501,291.13,291.721,291.91700000000003,293.307,0.015487374999997562,0.487593758125704,2.0604999661445618,,not_active,20.95665305941661,21.251685813624515,0.023151415,-0.6303435766897536,371.5889655756207,1.2836297,10.143,11.281,-0.001347256
15.147000074386597,291.135,291.726,291.92,293.304,0.015254624999995766,0.5335653835270019,2.4042500257492065,,not_active,20.955622746573642,21.245268187700685,0.023151633,-0.6276344599747006,371.8272118678133,1.283586,10.124,11.292,-0.000851345
16.52300000190735,291.145,291.723,291.929,293.296,0.015216625000001599,0.5790776837486673,2.7490000128746033,,not_active,20.951774322929847,21.24575239048534,0.023150871,-0.613406947706892,371.7692409599206,1.2836516,10.129,11.308,-0.000978752
17.895999908447266,291.128,291.737,291.91,293.307,0.014915000000009237,0.6239046372784992,3.0929999947547913,,not_active,20.9502288536654,21.246963451454736,0.023151197,-0.6066310562434012,371.6533580576597,1.2836079,10.129,11.308,-0.001453103
19.26900005340576,291.159,291.714,291.903,293.303,0.01872212499999597,0.6680556889816797,3.4362499713897705,,not_active,20.94971369724392,21.2459939378699,0.023151197,-0.6100221016510119,371.73059368799227,1.2835751,10.134,11.314,-0.000917335
20.6489999294281,291.14300000000003,291.741,291.884,293.303,0.017287625000002863,0.7116348109113029,3.7795000076293945,,not_active,20.950834952662902,21.252291898116983,0.023151197,-0.6296678473489266,371.56964193965655,1.2836188,10.132,11.278,-0.001214513
22.0239999294281,291.178,291.743,291.909,293.305,0.018242375000001778,0.754865434235162,4.124499976634979,,not_active,20.948562220054242,21.245388961392973,0.023151415,-0.6262830012930607,371.84005501610636,1.2836079,10.126,11.21,-0.001610892
23.401000022888184,291.187,291.743,291.909,293.303,0.01881475000000785,0.7973760471439388,4.468249976634979,,not_active,20.95010768931869,21.24514630599288,0.023151306,-0.620858568511224,371.84653550377743,1.2836625,10.121,11.164,-0.001434917
24.776000022888184,291.211,291.76,291.925,293.322,0.019484500000004918,0.8393905517383726,4.8125,,not_active,20.949743919014608,21.246842677762462,0.023151306,-0.6073067855842282,371.6855248419172,1.2835969,10.124,11.18,-0.000847206
26.15399980545044,291.249,291.771,291.912,293.311,0.022018625000000985,0.8807925227612092,5.15625,,not_active,20.950077190284045,21.25156503993224,0.023151088,-0.6195071098295699,371.5245730935817,1.2835969,10.129,11.208,-0.000717839
27.52900004386902,291.305,291.761,291.927,293.312,0.02577112499999466,0.9217375527063592,5.500749945640564,,not_active,20.950834952662902,21.251807695332335,0.023151306,-0.6310255053823255,371.5760635138033,1.2836625,10.129,11.224,-0.00034313
28.905999898910522,291.378,291.81,291.932,293.323,0.02864487499999648,0.9620530115012906,5.844500005245209,,not_active,20.95068328928155,21.24647924867008,0.023152177,-0.6682898087556737,371.7434957498099,1.2835969,10.118,11.224,-0.000215504
30.282999992370605,291.446,291.856,291.951,293.334,0.030416625000005783,1.001891704995644,6.188749969005585,,not_active,20.950198631894708,21.24514630599288,0.023150871,-0.660156259258784,371.75633889810297,1.2835969,10.121,11.18,-0.000155067
31.657000064849854,291.533,291.875,291.965,293.339,0.035112000000007686,1.0412002634531066,6.5329999923706055,,not_active,20.949743919014608,21.24660002236237,0.023151415,-0.6459287469909611,371.32497407331743,1.2836188,10.134,11.186,1.8948e-05
33.02999997138977,291.624,291.909,291.963,293.369,0.04143662500000095,1.079900393175602,6.8765000104904175,,not_active,20.951653158583134,21.24575239048534,0.023151197,-0.6499955217394131,371.3957881295032,1.2835642,10.121,11.205,-0.001147869
34.40300011634827,291.76800000000003,291.947,291.98,293.38,0.04936912500000167,1.1180563082448838,7.219749987125397,,not_active,20.951683380353824,21.246720796054642,0.023151088,-0.6472864050243743,371.35071928342836,1.2836516,10.145,11.2,-0.001675358
35.77999997138977,291.905,292.041,292.014,293.405,0.05326887499999485,1.15570197073159,7.563000023365021,,not_active,20.95250158627406,21.251444266239954,0.023150653,-0.658122871884558,371.17686547327503,1.2835969,10.132,11.142,-0.001589113
37.157999992370605,292.09,292.104,292.016,293.413,0.06368087500000892,1.192950433912631,7.907249987125397,,not_active,20.9528348575435,21.25035397896284,0.023150435,-0.7089451575366468,371.24125795531404,1.2836516,10.129,11.137,-0.001483158
38.52999997138977,292.263,292.173,292.045,293.444,0.07218812499999591,1.2297234428502803,8.251749992370605,,not_active,20.95277441400212,21.248779488901075,0.023151088,-0.7102966162182867,371.29922886320674,1.2835532,10.126,11.107,-0.000457252
39.90300011634827,292.505,292.271,292.058,293.485,0.08566862500000415,1.265842533373643,8.594749987125397,,not_active,20.952652972391462,21.246115819577714,0.023151088,-0.7082632288440607,371.3957881295032,1.2835532,10.137,11.031,-9.8441e-05
41.27900004386902,292.7,292.36,292.104,293.498,0.09280075000000076,1.3015002890366432,8.93800002336502,,not_active,20.952349922892708,21.244904758608318,0.023151633,-0.7008116080397429,371.49882788347077,1.2836297,10.132,11.001,-6.534e-06
42.65399980545044,292.95,292.491,292.14,293.528,0.10309637500001023,1.3367521250827463,9.282000005245209,,not_active,20.951683380353824,21.24587316417762,0.023150979,-0.6899689418278001,371.40220970364976,1.283586,10.14,11.026,-0.000473042
44.02499985694885,293.256,292.614,292.164,293.589,0.12012037500000552,1.3715001325726273,9.625749945640564,,not_active,20.950198631894708,21.245388961392973,0.023151415,-0.6947114459170791,371.466602185689,1.283586,10.148,11.053,-0.001606754
45.395999908447266,293.565,292.734,292.188,293.616,0.13599487500001003,1.4056767062063047,9.968499958515167,,not_active,20.95010768931869,21.245268187700685,0.023151197,-0.698102491324704,371.49882788347077,1.2836407,10.143,11.05,-0.000695515
46.769999980926514,293.864,292.891,292.221,293.654,0.1490312499999952,1.4393891855156538,10.31124997138977,,not_active,20.950804453628262,21.2459939378699,0.023150979,-0.6872598251127613,371.37646449353906,1.2834986,10.151,11.05,-0.000342803
48.144999980926514,294.245,293.06,292.284,293.701,0.16593175000000884,1.4727154092938695,10.654749989509583,,not_active,20.951744101159154,21.247084225147024,0.023151088,-0.6838749790568954,371.29922886320674,1.2836297,10.145,11.036,-0.000277139
49.51600003242493,294.602,293.239,292.334,293.74,0.18099162500000582,1.5056104667135661,10.998499989509583,,not_active,20.951653158583134,21.246236593269995,0.023151524,-0.6865840957719342,371.3571408575749,1.2836188,10.175,11.028,-0.001451469
50.89199995994568,295.026,293.424,292.361,293.811,0.20357550000000132,1.5379618203911494,11.341250002384186,,not_active,20.952380421927348,21.250838181747493,0.023150326,-0.6926842578946122,370.8291578529686,1.2835642,10.173,11.05,-0.00156374
52.26700019836426,295.434,293.636,292.428,293.861,0.21999387500000608,1.5699869617968945,11.685249984264374,,not_active,20.95462293276532,21.252533445501545,0.023150326,-0.7055541121290219,370.816255791151,1.2835532,10.17,11.061,-0.001568205
53.64199995994568,295.899,293.87,292.471,293.888,0.2399082500000016,1.6015499369159443,12.029000043869019,,not_active,20.95462293276532,21.246963451454736,0.023150871,-0.7089451575366468,370.9643643911934,1.283586,10.175,11.058,-0.00156472
55.019999980926514,296.363,294.072,292.534,293.963,0.2623805000000095,1.6326797828493518,12.372749984264374,,not_active,20.953895669421104,21.253381077378567,0.023151306,-0.7048783827881948,371.080247293454,1.2835314,10.194,11.094,-0.000991168
56.39399981498718,296.861,294.33299999999997,292.61,294.036,0.2832092499999986,1.6634486601560812,12.717249989509583,,not_active,20.953713784269066,21.2459939378699,0.023150762,-0.6899689418278001,371.0609825710144,1.283586,10.213,11.107,-0.000648146
